molecule,affinity_kcal_mol,SMILES
mol_0000,-7.6,Cc1ccc(OCCCOc2ccc3c(c2)NC(=O)CC3)cc1C
mol_0001,-7.7,Cc1nc(CNC(=O)N2CCC(NC(=O)c3ccccc3)CC2)cs1
mol_0002,-8.9,Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCCCO4)CC2)cc1
mol_0003,-8.6,CC(=O)N1CCC(NCc2cccnc2Oc2ccc(Cl)cc2)CC1
mol_0004,-9.0,Cc1cc(C)cc(C(=O)NC(=S)Nc2ccc(C)c(Cl)c2)c1
mol_0005,-7.1,CCC(=O)Nc1cc(Cc2ccccc2)cc2cccnc12
mol_0006,-8.1,CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1ccc(C)c(C)c1
mol_0007,-7.9,CNC(=O)c1ccc(NC(=O)N2CC(Oc3ncccc3C3CCCC3)C2)cc1
mol_0008,-8.4,Cc1ccccc1NC1CCC(N2CCN(c3ccccc3C)CC2)CC1
mol_0009,-8.6,O=C1CCc2ccc(OCCN3CCN(c4c(Cl)cccc4Cl)CC3)cc2N1
mol_0010,-8.2,CCOc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc(F)cc3)CC2)cc1C
mol_0011,-7.7,COc1ccc(NC(=S)Nc2cc3c4c(c2)CCC(=O)N4CCC3)cc1OC
mol_0012,-9.2,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1
mol_0013,-8.2,N#Cc1ccc(C(=O)Nc2ccc(NCC3CCCO3)c(Cl)c2)cc1
mol_0014,-6.5,CC(C)c1nc(CN(C)C(=O)Nc2ccc3c(c2)CCO3)cs1
mol_0015,-6.7,O=C(c1csnn1)N(Cc1c(F)cccc1Cl)C1CCCCC1
mol_0016,-7.5,COc1ccc(C(O)C(=O)NCc2cc(C)cc(C)c2)cc1OC
mol_0017,-6.7,Cc1ccc(C)c(N(CC(=O)NC(C)(C)C)C(=O)c2csnn2)c1
mol_0018,-9.5,COc1c(C)cc(OCc2cc(C(=O)N3CCC(F)CC3)no2)cc1C
mol_0019,-8.1,CCOc1ccc(NS(=O)(=O)c2ccc3c(c2)CCN(C)C3)cc1
mol_0020,-8.1,O=C(Nc1ccc(F)cc1)Nc1ccc(OS(=O)(=O)O)cc1
mol_0021,-5.9,CCc1nccn1CCCOc1cc(C)c(Cl)c(C)c1
mol_0022,-8.2,CN(C)C(=O)c1cnc(N2CCN(C3CCC(c4ccccc4)CC3)CC2)nc1
mol_0023,-7.7,COc1ccc(NC(=S)NC2CCC(C)C2)cc1C
mol_0024,-10.1,Cc1c(O)cccc1C(=O)NC1CCC(NC(=O)c2cccc(F)c2)CC1
mol_0025,-7.8,COc1cc(S(=O)(=O)NCCc2ccncc2)c(C)cc1C
mol_0026,-9.0,O=C(Nc1ccc(N2CCOCC2)cc1Cl)C1CCN(S(=O)(=O)c2ccccc2F)CC1
mol_0027,-6.7,Cc1cccc(C)c1NC(=S)NC(=O)c1ccc(Cl)cc1
mol_0028,-7.6,O=C(NC1CC1)C1CN(c2cccc(F)c2)CCN1C(=O)Nc1cc(F)cc(F)c1
mol_0029,-5.6,CC(=NNC(=S)Nc1ccc(C)c(C)c1)c1ccc(C)cc1
