molecule,affinity_kcal_mol,SMILES
mol_0000,-7.4,Cc1cc(C)cc(CNC(=O)c2cc(C)cc(C)c2)c1
mol_0001,-8.0,Cc1cc(C)cc(CNC(=O)c2cc(C)c(C)cc2C)c1
mol_0002,-8.9,Cc1cc(C)cc(CNC(=O)CNC(=O)c2cc(C)cc(C)c2)c1
mol_0003,-9.0,Cc1cc(C)cc(C(=O)N2CCN(C(=O)c3cc(C)cc(C)c3)CC2)c1
mol_0004,-7.8,Cc1cc(C)cc(CN2CCN(Cc3cc(C)cc(C)c3)CC2)c1
mol_0005,-9.4,Cc1cc(C)cc(C(=O)NCCNC(=O)c2cc(C)cc(C)c2)c1
mol_0006,-9.0,Cc1cc(C)cc(CCNC(=O)c2cc(C)cc(C)c2)c1
mol_0007,-8.1,Cc1cc(C)cc(CN2CCN(C(=O)c3cc(C)cc(C)c3)CC2)c1
mol_0008,-8.3,Cc1cc(C)cc(CNC(=O)CCNC(=O)c2cc(C)cc(C)c2)c1
mol_0009,-5.5,CCNCc1csc(-c2ccc(OC)c(OC)c2)n1
mol_0010,-8.4,CCc1ccc(CNC(=O)c2cc(C)cc(C)c2)o1
mol_0011,-8.9,Cc1cc(C)cc(CNC2CCN(C(=O)c3ccc(C)c(C)c3)CC2)c1
mol_0012,-6.3,COc1ccc(-c2nc(CNC(C)C)cs2)cc1OC
mol_0013,-8.1,Cc1ccc(CNC(=O)N2CCCN(Cc3cc(C)cc(C)c3)CC2)cc1
mol_0014,-8.1,COc1ccc(C(=O)N2CCN(Cc3cc(C)cc(C)c3)CC2)cc1C
mol_0015,-8.5,Cc1ccc(CNC(=O)N2CCN(Cc3cc(C)cc(C)c3)CC2)cc1
mol_0016,-8.3,CCC(=O)NC1CCN(C(=O)c2cc(C)cc(C)c2)CC1
mol_0017,-8.1,Cc1cc(C)cc(C(=O)NC2CCN(C(=O)c3cc(C)cc(C)c3)CC2)c1
mol_0018,-9.3,Cc1cc(C)cc(CNCc2ccc3c(c2)OCCCO3)c1
mol_0019,-7.6,Cc1cc(C)cc(CNC(=O)c2cc(C)cc(C(C)C)c2)c1
mol_0020,-8.1,Cc1cc(C)cc(CN2CCC(NC(=O)c3cc(C)cc(C)c3)CC2)c1
mol_0021,-9.3,Cc1cc(C)cc(CNC(=O)C2CCN(Cc3cc(C)cc(C)c3)CC2)c1
mol_0022,-8.2,Cc1cc(C)cc(CNC(=O)N2CCC(NC(=O)c3ccccc3)CC2)c1
mol_0023,-7.3,Cc1cc(C)cc(C(=O)NCC(=O)NCc2c(C)cc(C)cc2C)c1
mol_0024,-9.1,Cc1cc(C)cc(CCNC(=O)CNC(=O)c2cc(C)cc(C)c2)c1
mol_0025,-8.7,Cc1cc(C)cc(CCNC(=O)Cc2cc(C)cc(C)c2)c1
mol_0026,-10.3,Cc1cc(C)cc(CN2CCN(C(=O)CNC(=O)c3ccccc3Cl)CC2)c1
mol_0027,-7.8,Cc1cc(C)cc(CNC(=O)c2cc(C)cc(C(=O)N3CCCCCC3)c2)c1
mol_0028,-8.5,Cc1cc(C)cc(CNC(=O)N2CCN(Cc3cc(C)cc(C)c3)CC2)c1
mol_0029,-8.1,Cc1cc(C)cc(C(=O)NCc2csc(C)n2)c1
