SMILES,SMILES_state,NLL
O=C(c1ccc(-c2ccc(O)cc2)cc1)N1CCCC(N2CCCCC2)CC1,1,25.8
Cc1occc1C(=O)N1CCN(C(=O)c2cccnc2)CC1,1,12.68
NC(=O)c1noc(CN2CCCN(C(=O)c3ccco3)CC2)n1,1,19.44
O=C(NCCc1cccc(Cl)n1)c1cncc(Cl)c1,1,12.4
CC1(C2CCCCC2)CC2CN(C(=O)c3cccnc3)CCC2S(=O)(=O)C1,1,31.03
Cc1ccc(C(=O)N2CCN(Cc3nccs3)CC2)nc1,1,14.34
Cc1ccc(-c2c[nH]c(C(=O)N3CCOCC3)c2)cn1,1,17.81
O=C(Nc1cccnc1)c1cc(C2CCCN(C(=O)c3cncc(F)c3)C2)on1,1,21.55
CCn1cccc1C(=O)N1CCCN(c2cncs2)CC1,1,15.56
Cc1csc(C2CCN(C(=O)c3cccn3C)CC2)n1,1,13.78
Cn1cccc1CN1CCCN(C(=O)c2cccs2)CC1,1,11.86
Cc1ccc(C(=O)N2CCN(C(=O)c3ccncc3)CC2)cn1,1,11.17
O=C(c1ccccc1-c1ccccn1)N1CCCCCC1,1,16.5
O=C(c1cccnc1)N1CCCN(Cc2cccnc2)CC1,1,11.61
CN1CCN(C(=O)c2cc(C(N)=O)nc3ccccc23)CC1,1,20.02
Cc1cnc(C(=O)NC(C)c2cc(Cl)cc(Cl)c2)cn1,1,12.14
CCc1nc(CN2CCCN(C(=O)c3cncc(Cl)c3)CC2)co1,1,9.02
O=C(c1ccnc(-c2cccnc2)c1)N1CCCCC1,1,14.58
CN(C)CCC(NC(=O)c1ccncn1)c1ccsc1,1,11.92
Cc1ccc(CNC(=O)c2ccc(C(F)(F)F)s2)s1,1,18.5
CN1CCN(C(=O)c2ccc(N=c3[nH]cc(C(F)(F)F)cc3Cl)nc2)CC1,1,17.61
CC1CCCCN1C(=O)c1cncc(-c2ccccc2Cl)n1,1,17.63
O=C(Nc1ccccc1C(=O)NC1CCCCC1)c1cncc(C(F)(F)F)c1,1,20.76
O=C(NC1CCN(C(=O)c2sccc2Cl)CC1)c1cncc(Cl)c1,1,12.76
O=C(c1cccc(-c2ccnc(Cl)c2)n1)N1CCCCCC1,1,16.02
O=C(c1ccc(Cl)cc1Cl)N1CCCN(Cc2cscn2)CC1,1,15.73
CC1CCN(C(=O)c2cncc(C(=O)NC3CCCC3)c2)CC1,1,14.87
Cc1ccc(C(=O)N2CCC(c3ccc(F)c(=N)[nH]3)CC2)nc1,1,17.94
O=C(NC1CCCCC1)c1ccc(Cl)nc1,1,10.14
CC(C)NC(=O)c1cccnc1-c1cccc(C2CCCCN2)c1,1,27.13
C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5C(C)CC(OC6OC(C)C(O)C(O)C6O)C(C)(C)C5CCC43C)C12,1,32.02
O=C(NCCc1ncc(Cl)cn1)c1cncc(Cl)c1,1,8.82
CCCc1cc(C(=O)NCCCN2CCCCCC2)c(C)o1,1,18.92
CCc1nccnc1N1CCCN(C(C)c2ncccn2)CC1,1,24.17
O=C(c1cnccn1)N1CCCN(C(=O)c2sccc2Cl)CC1,1,18.24
O=C(NC1(c2ccccn2)CCCCC1)c1cscn1,1,19.03
O=C(NCc1ccncc1)c1cnc(-c2ccc(Cl)cc2)nc1,1,9.89
Cc1ccc(C(=O)N=c2ccc(Cl)c[nH]2)cn1,1,16.61
O=C(NCCc1ccc(Cl)cc1Cl)c1cnc(Cl)cn1,1,13.39
O=C(c1ccc(C2CCCCC2)cn1)N1CCOCC1,1,16.36
O=C(NC1CCN(C(=O)c2cccnc2)CC1)c1ccncc1,1,9.24
COc1ccnc(-c2cc(C(=O)NCc3ncccc3Cl)cc(=O)[nH]2)c1,1,21.88
