smiles,SMILES_state,NLL
CCN1CCCN(C(=O)CCNS(=O)(=O)c2ccc(C)c(C)c2)CC1,1,17.07
CCN(CC)c1nc(C)c(Cc2ccccc2)c(C)n1,1,17.53
CCC(=O)OC1CCC(C)CC1(C)C,1,22.29
CCNC(=O)c1ccc(N2CCN(Cc3cc(C)cc(C)c3)CC2)nc1,1,13.97
Cc1cc(C)cc(CN2CCC(CNC(=O)c3cc(C)c(C)cc3C)C2)c1,1,10.69
O=C(NCc1cccs1)NC1CCCN(c2ccncc2)CC1,1,13.32
COc1cc(N2CCC(NC(=O)NCc3ccc(Cl)s3)CC2)ncn1,1,15.74
Cc1ccc(-c2nc(CN3CCCN(C4CCCCC4)CC3)no2)cc1,1,14.47
CCNC(=O)C=COc1ccc(-c2ccc(CN3CCC(C)CC3)c(OC)c(=O)c2)cc1,1,37.79
Cc1ccc(Cc2[nH]c(=O)n(C3CCN(Cc4cc(C)cc(C)c4)CC3)c2C)cc1,1,19.21
CCOc1ccc(-c2cc(CNCc3csc(C)n3)on2)cc1C,1,18.35
Cc1cc(C)cc(CN2CCCC(=O)NCC2)c1,1,11.23
CCNCCCNCCCNC(N)=O,1,21.49
Cc1cc(C)cc(C(=O)NC2CCN(S(=O)(=O)c3cc(C)cc(C)c3)CC2)c1,1,10.74
CC(=O)NC1CCN(C(=O)c2csc(CN(C)Cc3cc(C)cc(C)c3)n2)CC1,1,15.8
Cc1cc(C)c(S(=O)(=O)N2CCCN(Cc3nccs3)C2)cc1C,1,22.93
COc1ccc(-c2nc(CNC(C)c3ccc(OCC(=O)N4CCCOCC4)cc3)cs2)cc1OC,1,20.36
COc1ccc(-c2nc(CNC(=O)c3cc(C)cc(C)c3)cs2)cc1OC,1,9.36
Cc1cc(C)cc(S(=O)(=O)NCCC2CCN(S(=O)(=O)NC(C)C)CC2)c1,1,21.63
Cc1cc(C)cc(CN2CCc3cc(O)ccc3C2)c1,1,15.79
COc1ccc(-c2ccc(CNC3CCCCC3)o2)cc1OC,1,12.39
CCOc1ccc(-c2nc(CNC3CCNCC3)co2)cc1,1,12.06
Cc1ccc(CNC(=O)C2CCCN2C2CCCCCC2)cc1,1,11.17
Cc1cc(C)cc(-c2ccc3c(n2)CCNC3=O)c1,1,13.18
Cc1nc(CNC(=O)N2CCN(c3ncccn3)CC2)cs1,1,10.28
Cc1cc(C)cc(CNC(=O)C2CCN(S(=O)(=O)c3cc(C)ccc3C)CC2)c1,1,14.26
CCNC(=O)c1cnc(N2CCN(C3CCCCC3)CC2)c(Cl)c1,1,12.13
Cc1cc(C)c(CN2CCN(C(=O)c3csc(C4CCCCC4)n3)CC2)c(C)c1,1,9.96
O=C1CCN(Cc2ccoc2)CCN1Cc1cccc2ccccc12,1,19.25
Cc1ccc(OC2CCN(Cc3ccc(CN4CCNCC4)o3)CC2)cc1C,1,16.72
COc1ccc(-c2cc(N3CCN(C)CC3)cc(N3CCC(C)CC3)n2)cc1OC,1,14.87
Cc1cc(C)cc(C(=O)NCc2cc(C)cc(C)n2)c1,1,7.9
CCN1CCCN(CCNS(=O)(=O)c2ccc(C)c(C)c2)CC1,1,13.03
Cc1cc(C)cc(CNC(=O)N2CCC(NC(=O)c3ccccc3)CC2)c1,1,6.88
Cc1cc(C)cc(CN2CCN(C(=O)NCc3csc(C)n3)CC2)c1,1,7.68
Cc1cc(C)c(C(=O)N2CCCN(c3ncccn3)CC2)cc1C,1,9.68
CCN(C)Cc1cc(C(=O)N2CCN(C(=O)c3cc(C)cc(C)c3)CC2)cs1,1,16.25
COc1ccc(-c2cc(=O)c3cc(CN4CCN(C)CC4)ccc3o2)cc1OC,1,17.89
CCC(C)NCc1ccc2c(c1)C(=O)CC(CN(CC)Cc1cc(C)cc(C)c1)O2,1,20.33
CCOc1ccc2cc[nH]c(=NS(C)(=O)=O)c2c1,1,27.24
Cc1cc(C)nc(CNC(=O)C2CCN(S(=O)(=O)c3c(C)cc(C)cc3C)CC2)c1,1,9.96
CCOC(=O)c1cnc(N2CCCC(C)C2)c(CNC(=O)c2ccc(OC)c(C)c2)c1,1,27.37
Cc1cc(C)cc(C(=O)N2CCN(C(=O)c3ccc(C)c(C)c3)CC2)c1,1,9.48
Cc1cc(C)cc(CN2CCC(CNC(=O)Nc3csc(C)n3)CC2)c1,1,22.13
Cc1cc(C)cc(C(=O)N2CCCN(CC(=O)N3CCCCC3)CC2)c1,1,20.28
Cc1cc(C)c(CNC(=O)CCNS(=O)(=O)c2ccc(C)c(C)c2)c(C)c1,1,15.24
O=C(NCc1ccco1)NC1CCN(c2ccncc2)CC1,1,9.52
COc1ccc(-c2nc(CNCC(C)C)cs2)cc1OC,1,8.57
Cc1ncc(CN2CCCN(C(=O)NCc3ccccc3)CC2)s1,1,15.31
Cc1ccc(-c2nc(CN3CCCN(Cc4cc(C)cc(C)c4)CC3)cs2)cc1,1,12.31
CCS(=O)(=O)N1CCC(NC(=O)c2csc(C3CCCCC3)n2)CC1,1,14.89
Cc1cc(C)c2c(c1)CCN(C1C3CC4CC(C3)CC1C4)C2,1,21.73
Cc1cccc(CNC(=O)c2cc(C)cc(C(=O)N3CCCCCC3)c2)c1,1,10.38
CC(C)(C)NCC(=O)N1CCCN(c2ncccn2)CC1,1,14.98
Cc1ccc(-c2nc(CNC(=O)c3ccc(C)cc3C)cs2)cc1,1,13.37
O=C(NCCCCN1CCN(c2ccc(Cl)cc2)CC1)OC12CC3CC(CC(C3)C1)C2,1,26.14
Cc1cc(C)cc(C(=O)NC2CCN(CCCNC(=O)Cc3ccsc3)CC2)c1,1,18.6
